Multi Channel Systems MC_Stimulus II
ASCII import Version 1.10
channels:	8
output mode:	current
format:	4
channel: 1
value	time
-1550	20
-0	60
44.28571495	700
0	39220
-200	20
-0	60
5.7142858	700
0	39220
-850	20
-0	60
24.28571465	700
0	39220
-1250	20
-0	60
35.71428625	700
0	39220
-600	20
-0	60
17.1428574	700
0	39220
-800	20
-0	60
22.8571432	700
0	39220
-450	20
-0	60
12.85714305	700
0	39220
-1600	20
-0	60
45.7142864	700
0	39220
-500	20
-0	60
14.2857145	700
0	39220
-1400	20
-0	60
40.0000006	700
0	79220
-1100	20
-0	60
31.4285719	700
0	39220
-1300	20
-0	60
37.1428577	700
0	39220
-950	20
-0	60
27.14285755	700
0	39220
-250	20
-0	60
7.14285725	700
0	39220
-900	20
-0	60
25.7142861	700
0	39220
-400	20
-0	60
11.4285716	700
0	39220
-1450	20
-0	60
41.42857205	700
0	39220
-1000	20
-0	60
28.571429	700
0	39220
-150	20
-0	60
4.28571435	700
0	39220
-1350	20
-0	60
38.57142915	700
0	39220
-750	20
-0	60
21.42857175	700
0	39220
-1150	20
-0	60
32.85714335	700
0	39220
-650	20
-0	60
18.57142885	700
0	39220
-300	20
-0	60
8.5714287	700
0	39220
-550	20
-0	60
15.71428595	700
0	39220
-50	20
-0	60
1.42857145	700
0	39220
-1200	20
-0	60
34.2857148	700
0	39220
-350	20
-0	60
10.00000015	700
0	39220
-100	20
-0	60
2.8571429	700
0	39220
-1050	20
-0	60
30.00000045	700
0	39220
-700	20
-0	60
20.0000003	700
0	39220
-1500	20
-0	60
42.8571435	700
0	39220
-1550	20
-0	60
44.28571495	700
0	39220
-200	20
-0	60
5.7142858	700
0	39220
-850	20
-0	60
24.28571465	700
0	39220
-1250	20
-0	60
35.71428625	700
0	39220
-600	20
-0	60
17.1428574	700
0	39220
-800	20
-0	60
22.8571432	700
0	39220
-450	20
-0	60
12.85714305	700
0	39220
-1600	20
-0	60
45.7142864	700
0	39220
-500	20
-0	60
14.2857145	700
0	39220
-1400	20
-0	60
40.0000006	700
0	79220
-1100	20
-0	60
31.4285719	700
0	39220
-1300	20
-0	60
37.1428577	700
0	39220
-950	20
-0	60
27.14285755	700
0	39220
-250	20
-0	60
7.14285725	700
0	39220
-900	20
-0	60
25.7142861	700
0	39220
-400	20
-0	60
11.4285716	700
0	39220
-1450	20
-0	60
41.42857205	700
0	39220
-1000	20
-0	60
28.571429	700
0	39220
-150	20
-0	60
4.28571435	700
0	39220
-1350	20
-0	60
38.57142915	700
0	39220
-750	20
-0	60
21.42857175	700
0	39220
-1150	20
-0	60
32.85714335	700
0	39220
-650	20
-0	60
18.57142885	700
0	39220
-300	20
-0	60
8.5714287	700
0	39220
-550	20
-0	60
15.71428595	700
0	39220
-50	20
